renda,consumo,valor,maquina
839.65,6,2.008333333,0
2199.84,6,2.008333333,1
1507.08,6,2.008333333,0
1199.42,6,2.008333333,0
731.14,6,2.008333333,0
556.07,6,2.008333333,0
841.22,6,1.901666667,0
901.79,6,1.901666667,1
2072.95,6,1.83,0
845.96,6,1.83,0
5870.22,8.333333333,2.0724,0
1547.46,6,1.79,0
3183.56,6,1.793333333,0
2808.21,6,1.793333333,0
959.69,6,1.783333333,0
2768.77,6,1.811666667,0
901.2,6,1.811666667,0
1306.04,6,1.811666667,0
2203.67,6,1.793333333,0
1053.34,6,1.793333333,0
2366.57,6,1.791666667,0
781.98,6,1.793333333,0
443.5,6,1.79,0
3303.39,6,1.793333333,0
1401.99,6,1.796666667,0
2181.93,6,1.796666667,0
1120.02,6,1.793333333,0
1773.71,6,1.793333333,0
764.95,6,1.793333333,0
1824.15,3.333333333,2.949,0
2879.34,3.333333333,4.902,0
1216.54,3.333333333,3.18,0
1569.85,33.33333333,.7719,0
740.37,7,2.142857143,0
939.97,19,1.052631579,0
1732,5.666666667,2.294117647,0
3156.29,7.666666667,2.14826087,0
2915.82,20,1.288,0
298.93,4,1.75,0
806.18,5.333333333,4.3875,0
1805.53,10,2.7,0
6118.35,3.333333333,3.228,1
837.14,3.333333333,3.27,0
2218.07,3.333333333,3,0
1221.91,6,1.793333333,0
704.25,6,1.791666667,0
1181.14,6,1.793333333,0
641.81,6,1.793333333,0
2439.86,10,1.076,0
4733.31,10,1.076,1
904.66,10,1.076,0
3927.21,10,1.076,0
1531.7,10,1.076,0
2386.95,10,1.727,0
3899.82,10,1.076,0
2025.38,6,1.793333333,0
350.57,6,1.793333333,0
1762.84,6,1.793333333,0
1755.66,6,2.106666667,0
3127.92,6,1.793333333,0
1232.55,6,1.206666667,0
2638.69,10,1.076,0
1025.65,6,1.793333333,0
490.74,6,1.793333333,0
2976.57,6,1.793333333,0
1546.44,6,1.793333333,0
4774.29,6,1.793333333,1
558.44,6,1.793333333,0
1324.05,6,2.525,0
849.79,3,3.4,0
1084,3,3.463333333,0
2783.36,10,15.904,0
7504.17,18.33333333,8.916,1
4942.88,7.666666667,10.51826087,1
1210.22,7.333333333,2.901818182,0
3315.38,5.666666667,7.503529412,1
1057.91,8,10.41,1
2911.6,.6666666667,94.905,1
582.16,8,7.17625,0
1481.25,10,8.126,0
1015,10,8.192,1
700.08,11,19.09090909,1
1609.43,4,7.1625,1
1685.57,7.666666667,10.29521739,1
2310,2.666666667,6.23625,0
2105.76,8,10.41,0
1428.19,7,9.522857143,1
4207.42,3.333333333,6.06,0
574.39,4,19.7125,0
1362.93,4,15.68,0
4658.77,5.666666667,19.17176471,0
1786.27,4.333333333,11.74615385,0
2839.08,8.333333333,7.7688,1
293.15,3.333333333,6.06,1
2111,7.333333333,12.67636364,1
892.52,16.33333333,11.1477551,1
1043.25,3.333333333,6.228,1
673.33,3.666666667,7.636363636,1
1473.77,7,5.12,1
1354.47,4.333333333,7.236923077,1
1147.72,4.333333333,11.15538462,1
854.8,7.333333333,2.736818182,0
986.7,11.33333333,2.692941176,0
2887.52,7.666666667,6.135652174,1
3008.7,10.33333333,8.887741935,1
1255.43,8,9.1,0
875.11,8,10.41,0
1396.61,8.333333333,9.4128,0
1211.75,8.333333333,6.996,1
3402,5,7.392,0
1437.46,5,7.168,0
1331.7,7.666666667,6.573913043,1
4419,10,7.84,0
879.9,4.333333333,7.236923077,0
1475,5,8.19,1
1330.04,3,6.72,0
1680.48,100,.5424,1
208,100,1.545,0
1676,100,.515,1
1135.5,100,.34,0
1397.37,100,.42,1
518,100,.3,0
2274.5,66.66666667,.6858,1
1015.93,14,7.599285714,1
8418.24,6.333333333,6.315789474,1
1835.17,6.666666667,5.412,1
2405.24,4.333333333,5.123076923,1
1910.01,.3333333333,105,1
1631.08,16.66666667,11.7036,0
982.14,3.333333333,7.5,1
657.31,3.333333333,5.4,0
727.98,3.333333333,7.5,0
865,3.666666667,5.454545455,1
2194.9,5.666666667,7.058823529,1
1207.17,4,6.2575,1
2939.25,83.33333333,.54,0
3075.5,116.6666667,.4285714286,1
5297,100,.45,1
2095.09,6.666666667,7.95,1
1339,5,5.6,1
2015.57,5,12,0
512.7,3.333333333,10.8,0
3105.63,8.333333333,9.564,1
2659.64,8.333333333,9.9168,1
1532.13,5,7.2,1
1227.05,6.666666667,8.454,0
7477.3,5,10,0
2736.8,6.666666667,19.8,1
1233.65,3.666666667,5.874545455,0
523.2,66.66666667,1.15215,0
1360,100,.75,1
10480,80,.8375,1
11836,66.66666667,.84,1
809.18,133.3333333,.138,1
789.53,11,6.257272727,0
1567.57,17.33333333,9.230769231,1
1808.08,3.666666667,9.709090909,1
1401.38,8,9.295,1
1957.8,80,.7,0
1562.72,66.66666667,.51,1
3484.13,100,.79,0
1866,5,16,0
1922.67,1.333333333,13.5,0
1306.65,5,4.8,0
2294.65,3.333333333,5.4,1
917.78,21.33333333,4.4690625,1
1119.17,3.333333333,5.4,0
557.38,4,6.25,0
3966.07,.6666666667,31.02,1
2478.5,6.666666667,5.526,1
1323.38,36.66666667,8.147727273,0
1337.1,100,.45,1
920,43.33333333,.9115384615,1
4693.71,5,5,1
673.73,3.333333333,4.5,0
570.15,1.666666667,4.8,0
1697.53,2.333333333,6.428571429,1
2854,5,7.2,1
3867.5,5.666666667,7.503529412,0
598.41,74,.5405405405,0
1380.33,3.333333333,5.502,0
5413,8.333333333,14.76,1
1795.25,9,16.11111111,1
567.22,5,4.4,0
5514.25,9.333333333,20.25,1
2994,6.666666667,18,1
3734.78,6.666666667,7.2,1
1826.42,8.333333333,14.4,0
1837.07,3.333333333,6.054,1
3762.27,6,6,0
1655.33,5,9,1
3132.25,8.333333333,16.08,1
2030.61,2,7.5,0
3583.59,4,7.575,1
918.5,8.333333333,9.6672,1
749.89,5,7,1
902.45,3.333333333,5.412,1
936,1.666666667,9,0
1858.15,8,9.25,1
1740.17,5,9,0
4046.61,6.666666667,24,1
1586,8.333333333,15.84,0
704.53,5,4.4,1
2513.83,10.66666667,7.4859375,1
667.15,10.66666667,1.4896875,0
4069.92,7.666666667,6.260869565,0
1510.05,7.333333333,6.272727273,0
1830.25,5,16,0
5161.1,32.66666667,.7653061224,0
1350.5,3.333333333,4.2,1
1020,66.66666667,.6945,0
2750,150,3.333333333,0
697,7,4.528571429,1
411.8,10,8.254,1
9060.58,8.333333333,22.8,1
14005.42,8.666666667,15.11538462,1
11060,8.333333333,21.36,1
16090.67,9.333333333,20.25,1
749.41,66.66666667,.1305,1
3294,63.33333333,.7263157895,1
2146.01,66.66666667,1.005,1
4423.33,74.33333333,.5784753363,0
4608.5,7,4.54,1
12826,8,10.39875,1
1768.67,3.333333333,6.06,1
799.95,.3333333333,55.5,1
1240.15,2.333333333,8.657142857,1
942.15,3,6.733333333,0
1773.73,3.666666667,5.874545455,0
1318.36,.6666666667,31.02,1
4451.15,4,5.6,0
889.55,5.333333333,7.26,0
7839.92,28,4.8,1
7550.24,21,5.12,1
533.52,2.333333333,6.72,0
2422.78,4.333333333,7.373076923,1
8629.51,4.333333333,7.753846154,1
6521.76,11.66666667,7.776,0
1615.97,13.66666667,7.368292683,1
3857.42,20.66666667,7.437096774,1
13455.83,13.33333333,9.45,1
6152.5,10,7.56,1
1548.15,6.666666667,5.5305,1
887.28,1.666666667,10.8,0
1289.27,1.666666667,11.262,1
2732.87,6.666666667,6.3,1
10741.1,150,.3741333333,0
2592.16,3.666666667,10.48909091,1
1159.05,100,.4378,0
3362.64,133.3333333,.405,0
2472.38,23.33333333,1.949571429,1
12804,8.333333333,17.88,1
6020.61,4.666666667,11.57142857,1
6980,5,8,1
3318.6,42,.3333333333,1
4249.91,10,7.948,1
2666,7.666666667,8.795217391,1
2135.5,51.66666667,1.17,1
437,100,.98,0
872.24,7.666666667,2.217391304,1
2920.5,8.333333333,17.76,1
3309.03,5.333333333,8.079375,0
1813.33,5.666666667,7.293529412,0
3401.19,3.666666667,8.522727273,0
2025.3,3.666666667,8.858181818,0
6221.16,3.666666667,6.070909091,1
664.53,8,6.625,1
2524.17,6.333333333,9.707368421,0
2531.95,6.666666667,10.1475,0
1935.98,4.333333333,3.773076923,0
4525,5.666666667,10.83176471,0
2104.14,6,11.66666667,0
5555,6.666666667,13.2555,0
5140,6,19.86166667,1
1397.59,4,9.185,0
2683.39,3.666666667,6.414545455,0
3946.26,3.333333333,9.744,1
2063.37,10,2.8,1
8768.9,937.6666667,.1875293281,1
1267,8.333333333,1.0752,0
1733.04,7.333333333,16.8,0
25734.51,15,16.506,1
2937.14,7.666666667,11.1026087,1
5906.35,3.333333333,5.79,1
1814.13,4.333333333,4.756153846,0
427.33,3.333333333,6.06,1
2432.59,3.666666667,6.231818182,1
393.85,15.66666667,3.03893617,1
740,8.333333333,18.2868,1
645.25,37,.9013513514,1
470.45,44.33333333,.4917293233,1
5730.67,8.333333333,19.2,1
825.47,5,4,1
1141.5,4,8.5,1
6434.17,5,6.6,1
1761.25,3.333333333,13.8,0
1322,2,8.265,1
5322.5,2.333333333,5.228571429,0
2080.44,5.333333333,6.5625,0
484.14,5,6.6,1
2911.03,12,6.641666667,1
3474.5,1.666666667,10.8,0
1383.8,5,5.006,1
